Date,Open,High,Low,Close,Adj Close,Volume
03-01-2011,248,249.75,245.399994,246.100006,222.193054,3842790
04-01-2011,247.350006,247.899994,241.300003,244.100006,220.38736,6877660
05-01-2011,243,249.449997,242.100006,246.5,222.55426,8279087
06-01-2011,249,252.850006,246.5,251.350006,226.933105,11312988
07-01-2011,251.449997,251.449997,230.600006,233.300003,210.63652,19294019
10-01-2011,234.649994,234.649994,220.800003,222.100006,200.524521,16700765
11-01-2011,222,234,222,230.600006,208.198807,11698426
12-01-2011,233.75,238.800003,226.449997,237.5,214.428482,10778556
13-01-2011,237.25,240.949997,232.100006,234.25,211.494263,7929497
14-01-2011,233.899994,238.75,228.699997,230,207.657089,7434960
17-01-2011,228.800003,232.050003,223.75,224.850006,203.007385,8379481
18-01-2011,225.649994,230.600006,225.649994,229.449997,207.160522,5802374
19-01-2011,230,237.699997,229,235.600006,212.713104,9212642
20-01-2011,232.25,239.75,232,236.5,213.525665,8696988
21-01-2011,233.100006,237,233.100006,234.449997,211.674774,5496192
24-01-2011,234.5,235.899994,230.199997,232.050003,209.507965,4656651
25-01-2011,233.199997,238.699997,232.5,235.100006,212.261673,6623592
27-01-2011,236.050003,238,231.550003,232.949997,210.320511,11947821
28-01-2011,232.699997,234.149994,217.600006,223.550003,201.833664,12714864
31-01-2011,220,231.399994,217.399994,229.649994,207.341095,10647154
01-02-2011,230.5,233.75,227.699997,229.899994,207.566788,8599323
02-02-2011,232,237.899994,231.149994,234.800003,211.990799,9229394
03-02-2011,235.050003,247,234.699997,246.050003,222.147934,11916127
04-02-2011,246.550003,251.25,234.550003,236.550003,213.570786,11477428
07-02-2011,236.800003,238.699997,227.949997,232.25,209.688522,11771926
08-02-2011,234.649994,238.949997,231.050003,233.850006,211.133087,10511581
09-02-2011,231.899994,232.199997,217.300003,219.350006,198.041656,12632074
10-02-2011,219,220.050003,211.800003,215.75,194.791397,9826787
11-02-2011,216,216.949997,201.550003,210.949997,190.457657,15181005
14-02-2011,209.949997,219.899994,203.600006,219.300003,197.996521,12331151
15-02-2011,220,220.300003,211.550003,212.399994,191.766785,10513954
16-02-2011,213.350006,215.550003,207.600006,211.649994,191.089661,14446222
17-02-2011,212,214.350006,210.550003,211.399994,190.863953,6790520
18-02-2011,212.449997,217.449997,208.300003,209.600006,189.238831,8959222
21-02-2011,210.050003,213.5,205.399994,212.699997,192.037659,7855519
22-02-2011,210,214.550003,208.100006,212.199997,191.586243,7735703
23-02-2011,211.25,215.699997,210.399994,212.399994,191.766785,8695832
24-02-2011,210,211.949997,203.149994,205.300003,185.356537,13043592
25-02-2011,208.550003,209,194.5,200.050003,180.616531,12435933
28-02-2011,201.5,209.350006,196.100006,201.350006,181.790237,13912499
01-03-2011,203.149994,213.350006,202.800003,212.449997,191.811935,10904058
03-03-2011,210.050003,212.600006,205.850006,210,189.59993,12801838
04-03-2011,212,213.399994,207.5,210.050003,189.645096,8571950
07-03-2011,208.5,211.5,207.649994,210,189.59993,8185775
08-03-2011,209,212.75,207.550003,211.949997,191.360504,7251481
09-03-2011,212.350006,215.399994,211.199997,213,192.308533,6555371
10-03-2011,211,211.550003,205.850006,209.300003,188.967957,8001364
11-03-2011,206.5,208.550003,203.5,205.75,185.762787,8250452
14-03-2011,203.800003,209.949997,203.800003,209.100006,188.787399,7810428
15-03-2011,203.25,206.100006,202.699997,204.199997,184.363403,8488763
16-03-2011,205.050003,207,202.5,203.149994,183.415359,7450369
17-03-2011,201.25,203.399994,196.850006,197.699997,178.494827,8563200
18-03-2011,199.449997,201.649994,196.100006,196.800003,177.68222,7469107
21-03-2011,198.449997,199,190.050003,190.699997,172.174805,10668392
22-03-2011,191.800003,193.449997,189.350006,191.850006,173.213104,5082135
23-03-2011,191.300003,197.050003,190.550003,196.350006,177.275986,7407569
24-03-2011,197.899994,205.350006,197.300003,204.800003,184.905075,9414606
25-03-2011,208.899994,208.899994,204.100006,206.649994,186.575363,6928310
28-03-2011,205.75,208.550003,204.199997,205.699997,185.717651,3623626
29-03-2011,205.649994,210,204.899994,207.899994,187.703934,6142777
30-03-2011,209.5,210.199997,204.399994,205.25,185.311417,6814808
31-03-2011,206,210,203.449997,209.149994,188.832504,9074245
01-04-2011,209.699997,215,209.449997,214.25,193.437088,5264467
04-04-2011,214.050003,217.399994,213.550003,215.899994,194.926788,2510590
05-04-2011,216.75,220,213.649994,215.449997,194.520508,7722580
06-04-2011,216.899994,217.800003,211.5,212.399994,191.766785,5130496
07-04-2011,212.699997,217.5,212.699997,216.050003,195.062225,4481867
08-04-2011,215.149994,217.5,208.300003,209,188.697098,8061529
11-04-2011,207.949997,210.600006,205.899994,207.399994,187.252533,4872688
13-04-2011,206.399994,210.649994,205,209.649994,189.283966,7534852
15-04-2011,208.050003,213.449997,208.050003,210.199997,189.780533,6983239
18-04-2011,211.699997,213.100006,203.050003,203.649994,183.866821,5877222
19-04-2011,203.800003,205.949997,200,205,185.085678,5369332
20-04-2011,206.350006,215.300003,206.25,214.350006,193.52739,7044590
21-04-2011,216.300003,221.399994,216,220.800003,199.3508,8777639
25-04-2011,220.850006,221.649994,215.800003,219.199997,197.906235,4171464
26-04-2011,218.75,224.300003,216.5,223,201.337082,9563112
27-04-2011,224.199997,224.75,219.100006,220.050003,198.67366,4931238
28-04-2011,220.75,222.399994,218.199997,219.050003,197.770813,6208592
29-04-2011,219.899994,219.899994,213.100006,216.050003,195.062225,4016688
02-05-2011,216.25,219.800003,212.149994,213.350006,192.624542,3572819
03-05-2011,213.199997,214.600006,204.75,206.350006,186.30452,4197215
04-05-2011,204.649994,208.100006,200.300003,205.449997,185.491928,4422055
05-05-2011,204,208.649994,200.600006,201.949997,182.331924,6990527
06-05-2011,200.050003,204.399994,196.800003,201.699997,182.106232,6005053
09-05-2011,202.5,206.25,200.75,202.600006,182.918808,4478705
10-05-2011,204.899994,207.5,201.699997,203.199997,183.46051,4393388
11-05-2011,203.649994,205.949997,202.800003,204.850006,184.950226,3543242
12-05-2011,203.25,203.25,193.550003,195.149994,176.19252,8501421
13-05-2011,196,202.199997,195.5,197.949997,178.720551,7199317
16-05-2011,197.399994,198.399994,192.5,194.899994,175.966812,6309738
17-05-2011,194.899994,197.350006,191.899994,193.449997,174.657654,3488663
18-05-2011,195,198.5,194.300003,196.550003,177.456528,5730595
19-05-2011,196.550003,198.449997,188.25,189.5,171.091354,4390067
20-05-2011,190.949997,195,189.75,192.100006,173.438812,5082647
23-05-2011,190.100006,191.350006,187.350006,188.600006,170.278793,3466591
24-05-2011,187,188.5,183.100006,186.75,168.608521,6722273
25-05-2011,185.949997,188.899994,181.25,183.899994,166.03537,7130170
26-05-2011,186,189.350006,185.5,186.550003,168.427963,7213398
27-05-2011,188.050003,199,187,197.550003,178.359375,8947292
30-05-2011,198.149994,199.5,191.800003,193.050003,174.296524,5704177
31-05-2011,192.800003,198,189.550003,197.350006,178.178787,8169408
01-06-2011,198.25,198.75,195.350006,197.300003,178.133667,5579947
02-06-2011,195,195.699997,192.399994,194,175.154251,3544280
03-06-2011,194.300003,196.5,188.25,189.149994,170.775375,4183106
06-06-2011,189,190.949997,185,186.300003,168.202225,6845086
07-06-2011,186,188.449997,185,187.699997,169.466232,4683354
08-06-2011,187,188.699997,182.5,183.649994,165.809677,6020295
